time,recorded_data,Analog,Voltage [V],Temperature [C],Year,Month,Weekday,Hour,Minute,Second
2025-01-09 10:55:04.065339,['22'],22.0,,,2025,January,Thursday,10,55,4
2025-01-09 10:55:04.565713,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,4
2025-01-09 10:55:05.066112,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,5
2025-01-09 10:55:05.691568,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,5
2025-01-09 10:55:06.192132,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,6
2025-01-09 10:55:06.692490,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,6
2025-01-09 10:55:07.193124,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,7
2025-01-09 10:55:07.693838,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,7
2025-01-09 10:55:08.194493,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,8
2025-01-09 10:55:08.694867,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,8
2025-01-09 10:55:09.195555,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,9
2025-01-09 10:55:09.696208,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,9
2025-01-09 10:55:10.196923,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,10
2025-01-09 10:55:10.697452,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,10
2025-01-09 10:55:11.198107,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,11
2025-01-09 10:55:11.698830,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,11
2025-01-09 10:55:12.199513,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,12
2025-01-09 10:55:12.699860,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,12
2025-01-09 10:55:13.200501,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,13
2025-01-09 10:55:13.701153,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,13
2025-01-09 10:55:14.201869,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,14
2025-01-09 10:55:14.702106,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,14
2025-01-09 10:55:15.202813,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,15
2025-01-09 10:55:15.703471,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,15
2025-01-09 10:55:16.204135,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,16
2025-01-09 10:55:16.704521,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,16
2025-01-09 10:55:17.205169,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,17
2025-01-09 10:55:17.705882,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,17
2025-01-09 10:55:18.206529,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,18
2025-01-09 10:55:18.707184,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,18
2025-01-09 10:55:19.207753,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,19
2025-01-09 10:55:19.708440,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,19
2025-01-09 10:55:20.208939,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,20
2025-01-09 10:55:20.709585,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,20
2025-01-09 10:55:21.210220,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,21
2025-01-09 10:55:21.710934,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,21
2025-01-09 10:55:22.211594,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,22
2025-01-09 10:55:22.712256,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,22
2025-01-09 10:55:23.212844,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,23
2025-01-09 10:55:23.713487,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,23
2025-01-09 10:55:24.214153,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,24
2025-01-09 10:55:24.714514,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,24
2025-01-09 10:55:25.215164,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,25
2025-01-09 10:55:25.715882,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,25
2025-01-09 10:55:26.216528,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,26
2025-01-09 10:55:26.717034,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,26
2025-01-09 10:55:27.217738,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,27
2025-01-09 10:55:27.718392,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,27
2025-01-09 10:55:28.218776,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,28
2025-01-09 10:55:28.719133,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,28
2025-01-09 10:55:29.219823,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,29
2025-01-09 10:55:29.720208,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,29
2025-01-09 10:55:30.220904,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,30
2025-01-09 10:55:30.721597,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,30
2025-01-09 10:55:31.222305,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,31
2025-01-09 10:55:31.723014,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,31
2025-01-09 10:55:32.223386,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,32
2025-01-09 10:55:32.724079,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,32
2025-01-09 10:55:33.224695,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,33
2025-01-09 10:55:33.725055,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,33
2025-01-09 10:55:34.225747,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,34
2025-01-09 10:55:34.726389,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,34
2025-01-09 10:55:35.227085,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,35
2025-01-09 10:55:35.727824,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,35
2025-01-09 10:55:36.228478,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,36
2025-01-09 10:55:36.729134,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,36
2025-01-09 10:55:37.229847,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,37
2025-01-09 10:55:37.730497,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,37
2025-01-09 10:55:38.231180,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,38
2025-01-09 10:55:38.731897,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,38
2025-01-09 10:55:39.232554,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,39
2025-01-09 10:55:39.733183,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,39
2025-01-09 10:55:40.233894,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,40
2025-01-09 10:55:40.734291,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,40
2025-01-09 10:55:41.234550,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,41
2025-01-09 10:55:41.735189,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,41
2025-01-09 10:55:42.235891,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,42
2025-01-09 10:55:42.736583,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,42
2025-01-09 10:55:43.237222,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,43
2025-01-09 10:55:43.737953,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,43
2025-01-09 10:55:44.238690,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,44
2025-01-09 10:55:44.739046,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,44
2025-01-09 10:55:45.239750,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,45
2025-01-09 10:55:45.740388,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,45
2025-01-09 10:55:46.241083,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,46
2025-01-09 10:55:46.741796,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,46
2025-01-09 10:55:47.242454,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,47
2025-01-09 10:55:47.743108,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,47
2025-01-09 10:55:48.243816,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,48
2025-01-09 10:55:48.744173,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,48
2025-01-09 10:55:49.244875,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,49
2025-01-09 10:55:49.745230,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,49
2025-01-09 10:55:50.245883,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,50
2025-01-09 10:55:50.746803,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,50
2025-01-09 10:55:51.247449,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,51
2025-01-09 10:55:51.748117,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,51
2025-01-09 10:55:52.248819,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,52
2025-01-09 10:55:52.749208,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,52
2025-01-09 10:55:53.249558,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,53
2025-01-09 10:55:53.750196,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,53
2025-01-09 10:55:54.250904,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,54
2025-01-09 10:55:54.751551,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,54
2025-01-09 10:55:55.252203,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,55
2025-01-09 10:55:55.752908,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,55,55
2025-01-09 10:55:56.253561,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,56
2025-01-09 10:55:56.754145,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,56
2025-01-09 10:55:57.254848,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,57
2025-01-09 10:55:57.755506,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,57
2025-01-09 10:55:58.256159,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,58
2025-01-09 10:55:58.756874,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,58
2025-01-09 10:55:59.257528,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,59
2025-01-09 10:55:59.758217,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,55,59
2025-01-09 10:56:00.258912,"['152.00', '0.74', '24.22']",152.0,0.74,24.22,2025,January,Thursday,10,56,0
2025-01-09 10:56:00.759272,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,56,0
2025-01-09 10:56:01.259975,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,56,1
2025-01-09 10:56:01.760669,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,56,1
2025-01-09 10:56:02.261081,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,56,2
2025-01-09 10:56:02.761739,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,56,2
2025-01-09 10:56:03.262384,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,56,3
2025-01-09 10:56:03.763079,"['151.00', '0.74', '23.73']",151.0,0.74,23.73,2025,January,Thursday,10,56,3
